FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,PURCHASE_PRODUCTS,Prodotti acquistati,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,GOODSSERV,Consumi intermedi,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,GOODSSERV,Consumi intermedi,2021,111,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,GOODSSERV,Consumi intermedi,2022,143.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,GOODSSERV,Consumi intermedi,2023,137.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,GOODSSERV,Consumi intermedi,2024,129.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,SEEDS,Sementi,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,SEEDS,Sementi,2021,104.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,SEEDS,Sementi,2022,120.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,SEEDS,Sementi,2023,133.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,SEEDS,Sementi,2024,139.3,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2021,105.2,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2022,124.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2023,135,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2024,135.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ROOTS,Piante sarchiate,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ROOTS,Piante sarchiate,2021,103.7,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ROOTS,Piante sarchiate,2022,119.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ROOTS,Piante sarchiate,2023,128.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ROOTS,Piante sarchiate,2024,145.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,VEGETS,Ortive,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,VEGETS,Ortive,2021,104.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,VEGETS,Ortive,2022,114.7,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,VEGETS,Ortive,2023,122.2,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,VEGETS,Ortive,2024,129.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ENERGDLUB,Energia e lubrificanti,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ENERGDLUB,Energia e lubrificanti,2021,116.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ENERGDLUB,Energia e lubrificanti,2022,197.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ENERGDLUB,Energia e lubrificanti,2023,180,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ENERGDLUB,Energia e lubrificanti,2024,154.2,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FUELSHEAT,Combustibili,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FUELSHEAT,Combustibili,2021,112.4,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FUELSHEAT,Combustibili,2022,144.3,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FUELSHEAT,Combustibili,2023,141.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FUELSHEAT,Combustibili,2024,129.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MOTORLS,Carburanti,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MOTORLS,Carburanti,2021,118.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MOTORLS,Carburanti,2022,176.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MOTORLS,Carburanti,2023,158.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MOTORLS,Carburanti,2024,148.4,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,LUBRIS,Lubrificanti,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,LUBRIS,Lubrificanti,2021,106.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,LUBRIS,Lubrificanti,2022,123.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,LUBRIS,Lubrificanti,2023,125.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,LUBRIS,Lubrificanti,2024,126.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FERTIRSS,Concimi e ammendanti,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FERTIRSS,Concimi e ammendanti,2021,120.4,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FERTIRSS,Concimi e ammendanti,2022,197.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FERTIRSS,Concimi e ammendanti,2023,166.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FERTIRSS,Concimi e ammendanti,2024,143,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,STRAIFERTI,Concimi semplici,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,STRAIFERTI,Concimi semplici,2021,131.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,STRAIFERTI,Concimi semplici,2022,247.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,STRAIFERTI,Concimi semplici,2023,177.7,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,STRAIFERTI,Concimi semplici,2024,144.3,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,NITROUSFE,Concimi semplici azotati,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,NITROUSFE,Concimi semplici azotati,2021,134.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,NITROUSFE,Concimi semplici azotati,2022,256.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,NITROUSFE,Concimi semplici azotati,2023,178.4,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,NITROUSFE,Concimi semplici azotati,2024,145.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,PHOSPCFER,Concimi semplici fosfatici,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,PHOSPCFER,Concimi semplici fosfatici,2021,114.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,PHOSPCFER,Concimi semplici fosfatici,2022,181.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,PHOSPCFER,Concimi semplici fosfatici,2023,163.4,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,PHOSPCFER,Concimi semplici fosfatici,2024,148,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,POTASFERTI,Concimi semplici potassici,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,POTASFERTI,Concimi semplici potassici,2021,115,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,POTASFERTI,Concimi semplici potassici,2022,198.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,POTASFERTI,Concimi semplici potassici,2023,181.4,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,POTASFERTI,Concimi semplici potassici,2024,131.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,COMPOFERTI,Concimi complessi (composti),2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,COMPOFERTI,Concimi complessi (composti),2021,121.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,COMPOFERTI,Concimi complessi (composti),2022,198.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,COMPOFERTI,Concimi complessi (composti),2023,177.7,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,COMPOFERTI,Concimi complessi (composti),2024,154.3,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERTILIZ,Altri concimi e ammendanti-concimi organici,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERTILIZ,Altri concimi e ammendanti-concimi organici,2021,108.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERTILIZ,Altri concimi e ammendanti-concimi organici,2022,149,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERTILIZ,Altri concimi e ammendanti-concimi organici,2023,147.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERTILIZ,Altri concimi e ammendanti-concimi organici,2024,135.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,PLANTTECTI,Antiparassitari,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,PLANTTECTI,Antiparassitari,2021,101.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,PLANTTECTI,Antiparassitari,2022,113.3,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,PLANTTECTI,Antiparassitari,2023,121.7,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,PLANTTECTI,Antiparassitari,2024,122.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FUNGIS,Anticrittogamici,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FUNGIS,Anticrittogamici,2021,102,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FUNGIS,Anticrittogamici,2022,118.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FUNGIS,Anticrittogamici,2023,127.2,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FUNGIS,Anticrittogamici,2024,132.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INSECDES,Insetticidi,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INSECDES,Insetticidi,2021,102,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INSECDES,Insetticidi,2022,110.2,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INSECDES,Insetticidi,2023,121.4,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INSECDES,Insetticidi,2024,121,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,HERBIS,Diserbanti,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,HERBIS,Diserbanti,2021,101.4,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,HERBIS,Diserbanti,2022,111.7,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,HERBIS,Diserbanti,2023,118,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,HERBIS,Diserbanti,2024,116.3,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,VETERYSER,Spese veterinarie,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,VETERYSER,Spese veterinarie,2021,102.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,VETERYSER,Spese veterinarie,2022,105.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,VETERYSER,Spese veterinarie,2023,109.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,VETERYSER,Spese veterinarie,2024,115.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ANIMAEDING,Mangimi,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ANIMAEDING,Mangimi,2021,115.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ANIMAEDING,Mangimi,2022,144.2,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ANIMAEDING,Mangimi,2023,135.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ANIMAEDING,Mangimi,2024,125,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,STRAIFEEDI,Mangimi semplici,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,STRAIFEEDI,Mangimi semplici,2021,119.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,STRAIFEEDI,Mangimi semplici,2022,167.7,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,STRAIFEEDI,Mangimi semplici,2023,147.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,STRAIFEEDI,Mangimi semplici,2024,122.3,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,COMPOFEEDI,Mangimi composti,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,COMPOFEEDI,Mangimi composti,2021,114.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,COMPOFEEDI,Mangimi composti,2022,136.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,COMPOFEEDI,Mangimi composti,2023,132.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,COMPOFEEDI,Mangimi composti,2024,125.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MAINTOFMAT,Manutenzione e rip. macchine,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MAINTOFMAT,Manutenzione e rip. macchine,2021,101.4,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MAINTOFMAT,Manutenzione e rip. macchine,2022,105.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MAINTOFMAT,Manutenzione e rip. macchine,2023,110.7,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MAINTOFMAT,Manutenzione e rip. macchine,2024,114.3,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MAINTOFBUILD,Manutenzione e rip. fabbricati rurali,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MAINTOFBUILD,Manutenzione e rip. fabbricati rurali,2021,101.2,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MAINTOFBUILD,Manutenzione e rip. fabbricati rurali,2022,104.2,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MAINTOFBUILD,Manutenzione e rip. fabbricati rurali,2023,107.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MAINTOFBUILD,Manutenzione e rip. fabbricati rurali,2024,110,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERDSAN,Altri servizi - spese generali,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERDSAN,Altri servizi - spese generali,2021,102.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERDSAN,Altri servizi - spese generali,2022,110.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERDSAN,Altri servizi - spese generali,2023,115.4,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERDSAN,Altri servizi - spese generali,2024,116.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INVEST,Investimenti,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INVEST,Investimenti,2021,103.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INVEST,Investimenti,2022,111.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INVEST,Investimenti,2023,118,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INVEST,Investimenti,2024,119.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MACHIAND,Beni strumentali,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MACHIAND,Beni strumentali,2021,102.2,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MACHIAND,Beni strumentali,2022,110.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MACHIAND,Beni strumentali,2023,119.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,MACHIAND,Beni strumentali,2024,122.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,BUILD,Costruzioni agricole,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,BUILD,Costruzioni agricole,2021,105.4,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,BUILD,Costruzioni agricole,2022,114.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,BUILD,Costruzioni agricole,2023,114.2,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,BUILD,Costruzioni agricole,2024,112.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FARMDINGS,Fabbricati agricoli,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FARMDINGS,Fabbricati agricoli,2021,105.4,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FARMDINGS,Fabbricati agricoli,2022,114.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FARMDINGS,Fabbricati agricoli,2023,114.2,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,FARMDINGS,Fabbricati agricoli,2024,112.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERKSEX,Lavori genio civile eccetto miglioramenti fondiari,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERKSEX,Lavori genio civile eccetto miglioramenti fondiari,2021,103.8,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERKSEX,Lavori genio civile eccetto miglioramenti fondiari,2022,112,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERKSEX,Lavori genio civile eccetto miglioramenti fondiari,2023,114.3,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,OTHERKSEX,Lavori genio civile eccetto miglioramenti fondiari,2024,114.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INPUTAL,Indice generale dei consumi intermedi e degli investimenti,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INPUTAL,Indice generale dei consumi intermedi e degli investimenti,2021,109,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INPUTAL,Indice generale dei consumi intermedi e degli investimenti,2022,135.3,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INPUTAL,Indice generale dei consumi intermedi e degli investimenti,2023,132.7,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,INPUTAL,Indice generale dei consumi intermedi e degli investimenti,2024,126.7,,
